country,region,year,Business_as_Usual_CO2_MT,Moderate_Transition_CO2_MT,Accelerated_Transition_CO2_MT
Denmark,Europe,2027,23.59157169714741,22.63014858238953,21.225513910252715
Denmark,Europe,2028,22.91739806007672,21.53084645169061,19.557679139521706
Denmark,Europe,2029,22.262490205665866,20.484944994441076,18.02089763017326
Denmark,Europe,2030,21.62629757785468,19.48985017225492,16.604871625127092
Egypt,MENA,2026,320.9685708556528,314.68657085565275,305.26357085565274
Egypt,MENA,2027,327.98733994625974,315.2742371120336,296.67573286069444
Egypt,MENA,2028,335.15959172651424,315.8630008147655,288.3294925159926
Egypt,MENA,2029,342.4886824738088,316.4528640132912,280.2180530672719
Egypt,MENA,2030,349.9780418588151,317.0438287608813,272.33480897018217
Finland,Europe,2026,32.28144955247436,31.617449552474362,30.62144955247436
Finland,Europe,2027,31.388312807498405,30.110334825399427,28.243167852250966
Finland,Europe,2028,30.519886639534477,28.675060010547536,26.049600590053267
Finland,Europe,2029,29.67548737654724,27.308200701736798,24.026401515976577
Finland,Europe,2030,28.8544502617801,26.006495724578553,22.16033861292079
France,Europe,2026,276.3004328486583,270.77043284865834,262.47543284865833
France,Europe,2027,276.1010097372729,265.15959242332656,249.16221645240705
France,Europe,2028,275.90173056188115,259.66501849706316,236.5242698476551
France,Europe,2029,275.70259521859555,254.28430182316333,224.52734216085403
France,Europe,2030,275.5036036036036,249.0150830787588,213.13891978310662
Germany,Europe,2026,553.5326856974366,542.2326856974365,525.2826856974366
Germany,Europe,2027,542.2981135140126,520.3828060861151,488.35734494426885
Germany,Europe,2028,531.2915596850703,499.4133920970664,454.02771280069913
Germany,Europe,2029,520.5083963201007,479.28896437178634,422.111320992948
Germany,Europe,2030,509.94408945686905,459.9754732326667,392.43852806100614
India,Asia,2026,3242.2637818195485,3179.8797818195485,3086.3037818195485
India,Asia,2027,3370.1828773079,3241.740006035118,3053.754499125945
India,Asia,2028,3503.148846243844,3304.8036365435537,3021.5484930113057
India,Asia,2029,3641.360806135983,3369.0940839729956,2989.682143155922
India,Asia,2030,3785.0257304026454,3434.635214373423,2958.151867421292
Indonesia,Asia,2026,816.558987588433,800.8149875884329,777.1989875884328
